ligand,receptor,dist,correspondence,dist,correspondence,diff2,FC,p_val,q_val,enriched_rank
LAMC2,ITGA1,0.003512785660683181,3.9033,0.008728100465176284,0.2508277,2.7199508509964932e-05,14.557790680083102,0.00013592545892471275,0.8488345237527574,1
LAMB3,ITGA1,0.0007635648453853929,7.751862,0.005897115644111254,0.8988722,2.635334380309893e-05,14.104904236237392,0.00017289241944129508,0.8488345237527574,2
PDGFB,PDGFRB,0.008831171454498906,0.55240846,0.01369582192332271,0.06887007,2.366482418382766e-05,12.665947872657927,0.0003723756974369774,0.8488345237527574,3
PDGFB,DDR2,0.00614697645128347,1.0261774,0.010824804314462567,0.15642977,2.188207351753472e-05,11.71177949034458,0.0006210570099773882,0.8488345237527574,4
PDGFB,EGFR,0.008164669147457889,0.534333,0.012805201152310496,0.12896934,2.1534537288061357e-05,11.525770258576111,0.0006863800549778976,0.8488345237527574,5
PDGFB,SPHK1,0.0062901863065746395,1.0149193,0.010841259851775704,0.15147275,2.071227041382899e-05,11.085674473982964,0.0008699717446698507,0.8488345237527574,6
PDGFB,PTK7,0.01036026968138009,0.3348323,0.014775976281516846,0.03731686,1.9498464778491314e-05,10.436018309825533,0.001235813940849484,0.8488345237527574,7
PDGFB,EPHB2,0.014953921720053458,0.097104974,0.019069106962659264,0.012300384,1.6934749580960603e-05,9.063860088829498,0.0026071101305933375,0.8488345237527574,8
LAMC2,ITGB3,0.009933403482272613,0.5430563,0.013972601074901822,0.032620665,1.6315117192301597e-05,8.732218853128755,0.003126358104871052,0.8488345237527574,9
PDGFB,MET,0.015375783668739375,0.07107038,0.019400012707448868,0.012968076,1.619441935599273e-05,8.66761864772873,0.0032391419716899517,0.8488345237527574,10
PDGFB,LMTK2,0.016512544862661235,0.043653864,0.020488215354191583,0.008227313,1.580595585722516e-05,8.459704217957356,0.003631008988046247,0.8488345237527574,11
LAMB3,ITGB3,0.00718626664219237,1.078497,0.011142849939455917,0.11690021,1.5654551388184886e-05,8.37866912985972,0.003796503260661388,0.8488345237527574,12
LAMA3,ITGA1,0.004357003577025506,2.2969596,0.008277883660446229,0.49395058,1.5373300628565292e-05,8.228137377212189,0.004124583949465688,0.8488345237527574,13
PDGFB,DDR1,0.01382095870832535,0.11360084,0.017615445664427628,0.023781704,1.4398131260030336e-05,7.706204727599801,0.005503133264805227,0.8488345237527574,14
PDGFB,INSR,0.014430529732725154,0.09246626,0.018210309046779078,0.019997876,1.4286731662949951e-05,7.64658114963891,0.005688001819216693,0.8488345237527574,15
PDGFB,LRP1,0.005760402419840079,1.6523197,0.009518030617879121,0.26987982,1.4119769674698141e-05,7.557219326221775,0.00597701446575416,0.8488345237527574,16
CMTM3,AR,0.012192703349673211,0.16728276,0.015840529044023725,0.035659064,1.3306632296363804e-05,7.122009853829801,0.007614329856882485,0.8488345237527574,17
PDGFB,FGFR1,0.01088970731071494,0.24035397,0.01451190677966749,0.052822184,1.3120328992880136e-05,7.022296122086097,0.008050093608081177,0.8488345237527574,18
PDGFB,ERBB2,0.016147307616072488,0.05532734,0.019755576072633313,0.010395022,1.3019601254611839e-05,6.9683843637596246,0.008296236909632215,0.8488345237527574,19
PDGFB,ERBB3,0.019468870199007903,0.0057855565,0.023063630466571065,0.0012983902,1.2922301381250772e-05,6.916307276077322,0.008541317523640068,0.8488345237527574,20
EFNA1,PDGFRB,0.007682617526452665,0.71001256,0.011221821025339826,0.19433525,1.2525961406535116e-05,6.704177178654933,0.009618730660946873,0.8488345237527574,21
PDGFB,MST1R,0.019823044014340197,0.0024887784,0.02328838720586186,0.00088945957,1.2008603435025541e-05,6.427275518716868,0.011238083440346713,0.8488345237527574,22
FGF18,PDGFRB,0.003932169741124056,1.8156282,0.00733865677057139,0.8350265,1.1604153881792922e-05,6.210804991888912,0.012697287755709219,0.8488345237527574,23
VEGFA,ITGB3,0.011293297679834464,0.26768318,0.014655474184217,0.048878822,1.1304230846621965e-05,6.050279416047923,0.01390409646530566,0.8488345237527574,24
EFNA1,DDR2,0.004999250902363999,1.3189495,0.008349917024221425,0.44140822,1.1226963460163086e-05,6.008924167365641,0.014233703092773942,0.8488345237527574,25
LAMA1,ITGA1,0.0005931706331345439,7.8989673,0.003927074789093765,2.6585593,1.1114916921122167e-05,5.948954331469972,0.01472601888981151,0.8488345237527574,26
PDGFB,AXL,0.010988884929529513,0.23623066,0.014317821349827647,0.053472508,1.1081817690387356e-05,5.931238876334721,0.01487478090617278,0.8488345237527574,27
EFNA1,EGFR,0.007016281833143528,0.6867801,0.01033110259621692,0.36392134,1.0988036691302461e-05,5.8810451695643655,0.015304734104880202,0.8488345237527574,28
TNC,ITGA1,0.009735443738413467,0.51292026,0.013017098899739584,0.10326894,1.0769260597858344e-05,5.763951267922764,0.016358245062518484,0.8488345237527574,29
PDGFB,EPHA2,0.015256139174920818,0.086605474,0.018514918619391894,0.015861306,1.0619643467707216e-05,5.683872803927839,0.017121534795134785,0.8488345237527574,30
LAMC1,ITGA1,0.0005875309792519582,9.068206,0.0038122488789114123,3.450223,1.039880553238408e-05,5.565675357989501,0.01831594390942004,0.8488345237527574,31
FGF18,DDR2,0.0012494861287326326,3.372788,0.004467058822566773,1.8966582,1.0352774040107087e-05,5.541038264675303,0.018575558823316407,0.8488345237527574,32
LAMA5,ITGA1,0.004909060329678737,2.1382792,0.008118690626311762,0.81919867,1.0301726641064602e-05,5.513716544882061,0.018867912605517123,0.8488345237527574,33
VEGFB,PDGFRB,0.0052793729406599745,1.3215934,0.008481654686343022,0.63275105,1.0254608378734869e-05,5.488497787713923,0.01914198333640582,0.8488345237527574,34
VEGFA,PDGFRB,0.007774517400093161,0.6841127,0.010973422702145358,0.22639853,1.0232995131497657e-05,5.476929890114563,0.019269073346830368,0.8488345237527574,35
FGF18,EGFR,0.003265803836664015,1.7562187,0.00644793191931231,1.56371,1.0125939134378915e-05,5.419631104861467,0.019911566463701402,0.8488345237527574,36
COL6A3,ITGA1,0.009731439851353168,0.45215216,0.012891219614486738,0.15610456,9.98420815150844e-06,5.343773484832969,0.02079640910121605,0.8488345237527574,37
PDGFB,PDGFRA,0.006397765287333171,1.141469,0.00952033660827548,0.24234521,9.750451654371394e-06,5.218661733119373,0.022345741311174394,0.8488345237527574,38
LAMA4,ITGA1,0.005024331317706736,1.3084807,0.008132115659836011,0.92120415,9.658323517183891e-06,5.169352675331425,0.02298878076491584,0.8488345237527574,39
