ligand,receptor,dist,correspondence,dist,correspondence,diff2,FC,p_val,q_val,enriched_rank
L1CAM,EPHB2,0.01695546531072105,0.01931572,0.01930580803740888,0.001512161,5.5241109328943825e-06,10.025010467026487,0.0015442879874332238,0.2844972023035781,14
TGFB1,ITGB8,0.005417157572240478,0.99907905,0.0030978339359761455,1.2051787,5.379262129734405e-06,9.762142688762266,0.0017814216543025063,0.30294637950018133,15
THBS1,ITGB8,0.008885407341696202,0.32266763,0.0065674277326644385,0.92787004,5.373029467887049e-06,9.750831818829312,0.0017924159081573743,0.3038258085733636,16
CSF3,TFRC,0.008524839850345333,0.31678444,0.00624117378220839,0.9437318,5.215130710760046e-06,9.464281329138242,0.0020951150034165256,0.32529406885864937,17
EFNA1,EPHB2,0.01738238436930772,0.010865361,0.019622800010947433,0.0013354366,5.019462247303886e-06,9.109187375008103,0.0025432883346595547,0.3540566892366098,18
AFDN,EPHB2,0.008554093049158815,0.6524081,0.010777554242294643,0.057518028,4.9437796773809995e-06,8.971840648111208,0.002741722519128631,0.36508012324081096,19
TNC,ITGB8,0.01052155681835439,0.24123427,0.008302433763410845,0.5604904,4.924507132981977e-06,8.936865344089716,0.002794719165462811,0.36819128971632736,20
THBS1,TNFRSF11B,0.006073351608409224,0.6482697,0.0039185626102727035,1.5640333,4.643115626490191e-06,8.426203477921423,0.003698517668454415,0.4175135094019849,21
LAMB1,ITGB8,0.005249631515588215,1.3095171,0.0031005694368159333,1.7873856,4.61846781841704e-06,8.381473287502684,0.0037906502496667382,0.4218846270764224,22
TGFB1,TNFRSF11B,0.002607063296753085,2.007244,0.0004806573254384424,2.0314693,4.521602354842568e-06,8.205684405269169,0.0041759354358366085,0.4405534259293973,23
LAMC1,ITGB8,0.005222458919912446,1.3870934,0.0030992925660066704,1.7774944,4.5078353663575445e-06,8.180700438556993,0.004233840879223516,0.443263572627552,24
EREG,EPHB2,0.016925778613060185,0.027585085,0.018976539436952586,0.005299999,4.205619956811839e-06,7.632247903697241,0.005733380097508789,0.5046598588761424,25
FGF2,TNFRSF11B,0.002675585022440823,2.134242,0.0006284512665809941,4.1359906,4.1907566143807685e-06,7.605274302830684,0.005819780981790035,0.507797774256849,26
EFNA5,EPHB2,0.013737172891527549,0.15819573,0.01572149720238821,0.018827487,3.937542970672644e-06,7.145748877037357,0.007514189018451356,0.5630765520897419,27
CXCL5,CXCR2,0.013086301479112024,0.079119846,0.011146163056542332,0.30575812,3.764137098731213e-06,6.831056485379346,0.008958626035727835,0.6022442769943657,28
VEGFB,EPHB2,0.005991646846276719,1.512409,0.007901866746342228,0.12988985,3.6489400666062848e-06,6.621999957215509,0.010072666226845217,0.6286557453418867,29
LAMA4,ITGB4,0.0069042506265577916,0.69155824,0.005003905426496242,0.5664184,3.6113118793969697e-06,6.553713317933454,0.010466549737705222,0.6375352731135361,30
LAMA4,ITGB3,0.005585284957859799,1.0988183,0.003722190592561479,0.9544858,3.471120614006349e-06,6.299297916070718,0.012078580123688343,0.6707236961935478,31
LAMA4,DAG1,0.0054325380300319125,1.1519006,0.0035707715051606103,1.0158917,3.466174593131365e-06,6.290322008156452,0.012139899401992449,0.6719123528738533,32
CXCL2,CXCR2,0.01286615816657486,0.09283438,0.011024570480608826,0.29094929,3.3914452051017335e-06,6.154705090557911,0.01310629679374542,0.6890392799067969,33
RAC1,PDGFB,0.006590649934773306,2.710913,0.008408332344016238,0.508432,3.3039693408711905e-06,5.995956204958704,0.014338707043706989,0.7094479278667584,34
MDK,TSPAN1,0.007277244357860061,0.6896859,0.005460323400866118,0.751697,3.3012017639637854e-06,5.990933679560123,0.014379589226537148,0.7100568864912089,35
YBX1,PDGFB,0.006591921999524783,3.0584235,0.008408332344016238,0.61757326,3.2993465395755676e-06,5.987566867391342,0.01440706143819126,0.7104128664294426,36
AREG,EPHB2,0.012767220631360487,0.20266142,0.014557053898989638,0.026972912,3.2035031259120433e-06,5.813632774313861,0.015902411125074623,0.7313077079962028,37
TGFB1,ERBB2,0.006777825764364368,0.75541884,0.005018410498118738,0.6074859,3.095542079098181e-06,5.617707920977684,0.017779886788332644,0.7554965823263938,38
VEGFA,EPHB2,0.004770354448474875,2.7531302,0.006521551475095016,0.27008072,3.0666910260432208e-06,5.5653497926970905,0.018319350028929926,0.761731020038694,39
CXCL3,CXCR2,0.010820162383632596,0.18503417,0.009069230950376565,0.58681023,3.065760883964018e-06,5.56366179544412,0.018337020634792922,0.7619028492813068,40
VEGFC,PRKCA,0.009586475147813,0.26563153,0.007840368475559632,0.42938048,3.048888510887732e-06,5.533042258880121,0.01866063182008071,0.7656850072003429,41
FGF7,PLAU,0.0017114090017068925,6.892731,0.0034563536899244575,3.3768601,3.044831964938695e-06,5.5256805465443115,0.018739312156040522,0.7665981100868472,42
ANGPTL4,SDC2,0.005829755869779719,0.9095857,0.00411989165613898,1.3961643,2.9236356290892627e-06,5.305736640599032,0.021255309623326557,0.7944496819393453,43
LRIG1,ERBB2,0.012047434319567049,0.15652224,0.010358641419143964,0.2794534,2.8520214605194153e-06,5.175773140911679,0.022903976789266478,0.8101304893352452,44
NID1,ITGA3,0.003074165612676125,3.4594934,0.004753634650113285,1.6938341,2.8206162477101007e-06,5.118779791039247,0.023668253608416623,0.8168063061037416,45
FGF2,ERBB2,0.006846408164531022,0.8032141,0.005174700389477609,1.236817,2.794606885174031e-06,5.071578687579842,0.024321224122195728,0.8222463275362835,46
BDNF,EPHB2,0.008778824319124997,0.5970093,0.010446864524335816,0.07240406,2.7823581261997534e-06,5.049349963642743,0.02463517877864496,0.8247443186842808,47
THBS1,CD47,0.006217521720116042,0.82780355,0.004559705932565797,1.5071592,2.7483531854508377e-06,4.987638696240682,0.025529022845140026,0.8319696388957638,48
THBS1,ITGB4,0.010086994367340065,0.24022178,0.008454619839934098,0.4130127,2.6646465977238534e-06,4.835730193982852,0.02787583361801904,0.8503271753088552,49
FGF2,FGFR1,0.006891738338418963,0.8362752,0.005264242253243155,1.2891146,2.6487435072625786e-06,4.806869685881358,0.028346492003958668,0.8537811978619597,50
ANXA1,ERBB4,0.011343207013368422,0.21615227,0.009720849632255977,0.40397942,2.6320434720500314e-06,4.776562903515969,0.0288496481794841,0.8573952253787548,51
TGFB1,GLG1,0.005827460759845942,0.93534356,0.004209106781085633,0.6527265,2.6190696005693233e-06,4.753018264573715,0.029246952195159825,0.860057794247734,52
VEGFC,ERBB2,0.010278319436325107,0.24500258,0.00866877283399869,0.36588472,2.590640265060516e-06,4.701425458145935,0.03013761187823616,0.8660750952423638,53
CSF3,PLAUR,0.016563148453575195,0.030996315,0.014955653292735379,0.055921476,2.5840406921234254e-06,4.689448727668227,0.030348382527236706,0.8674545438806084,54
TGFB1,ITGB3,0.005299801629903264,1.1818271,0.003703190451605795,0.9039822,2.5491672546644314e-06,4.626161335399218,0.03148793809631689,0.8745889298164474,55
THBS1,ITGB3,0.008767989656589628,0.3816889,0.007173486689454268,0.6959781,2.5424397122034692e-06,4.61395236921302,0.03171286104032023,0.8760158779180002,56
