 	gene_name
TINAGL1	TINAGL1
COL6A2	COL6A2
CDC20	CDC20
MAP1B	MAP1B
MCM3	MCM3
CP	CP
VCAN	VCAN
ISG15	ISG15
NRP2	NRP2
LITAF	LITAF
LAMC2	LAMC2
DUSP5	DUSP5
JPT1	JPT1
MYOF	MYOF
CEP55	CEP55
IL32	IL32
CCN2	CCN2
CD69	CD69
SERPINH1	SERPINH1
ATAD5	ATAD5
UCP2	UCP2
CENPM	CENPM
SFRP1	SFRP1
IDH2	IDH2
MMP2	MMP2
XIST	XIST
CYSTM1	CYSTM1
AHNAK2	AHNAK2
AKR1B1	AKR1B1
BST2	BST2
ANPEP	ANPEP
PLK1	PLK1
ANGPTL4	ANGPTL4
FBLN1	FBLN1
SNHG12	SNHG12
UBE2T	UBE2T
KLHL13	KLHL13
OGFRL1	OGFRL1
CDC6	CDC6
MFGE8	MFGE8
TMEM14B	TMEM14B
AP1M2	AP1M2
QPRT	QPRT
ITM2B	ITM2B
NGRN	NGRN
SCIN	SCIN
CYBA	CYBA
DNAJC18	DNAJC18
NRG1	NRG1
SRPX	SRPX
HMGN2	HMGN2
BIRC3	BIRC3
PRRX1	PRRX1
IFI27	IFI27
MET	MET
PBK	PBK
CEBPD	CEBPD
SERPINB1	SERPINB1
BRCA2	BRCA2
ATP5MC1	ATP5MC1
IGFBP3	IGFBP3
MYEOV	MYEOV
TUBB4B	TUBB4B
CTNNAL1	CTNNAL1
ONECUT2	ONECUT2
ARL4C	ARL4C
TRIM56	TRIM56
MEF2A	MEF2A
SELENOP	SELENOP
SERPING1	SERPING1
PID1	PID1
CLDN3	CLDN3
ZP3	ZP3
CPM	CPM
BRCA1	BRCA1
TEX30	TEX30
IMPA2	IMPA2
BGN	BGN
CDKN1C	CDKN1C
THBD	THBD
NME1	NME1
CDH2	CDH2
MAD2L1	MAD2L1
ICAM1	ICAM1
FEN1	FEN1
CTSK	CTSK
ZWINT	ZWINT
RAP1GAP	RAP1GAP
LRATD2	LRATD2
THBS2	THBS2
S100A4	S100A4
HES4	HES4
CAV1	CAV1
DUT	DUT
LRG1	LRG1
TUBB	TUBB
ACSL4	ACSL4
USP1	USP1
SLC7A5	SLC7A5
UQCRH	UQCRH
RBCK1	RBCK1
KIF20B	KIF20B
RHOB	RHOB
HNF1B	HNF1B
TMEM106C	TMEM106C
TXNRD1	TXNRD1
RND3	RND3
RANBP1	RANBP1
CTSH	CTSH
SINHCAF	SINHCAF
SLC3A2	SLC3A2
ACSL1	ACSL1
TYMP	TYMP
SPON1	SPON1
DHRS3	DHRS3
TOB1	TOB1
PA2G4	PA2G4
DIAPH3	DIAPH3
CHCHD10	CHCHD10
SPDL1	SPDL1
KLHL28	KLHL28
TNKS2	TNKS2
RNF213	RNF213
QPCT	QPCT
MYO1E	MYO1E
SOX9	SOX9
WNT7A	WNT7A
SLC2A1	SLC2A1
SOD3	SOD3
CD74	CD74
SYNE1	SYNE1
ITGB8	ITGB8
COL8A1	COL8A1
FZD10	FZD10
TJP2	TJP2
SPOCK1	SPOCK1
WLS	WLS
TK1	TK1
IQGAP1	IQGAP1
ITPRID2	ITPRID2
GAS5	GAS5
COMMD4	COMMD4
BCL2L1	BCL2L1
BTG1	BTG1
KIF11	KIF11
SAT1	SAT1
HES1	HES1
HOXB7	HOXB7
SLC26A2	SLC26A2
CALM3	CALM3
EFNA1	EFNA1
SLC25A15	SLC25A15
MCM4	MCM4
FSTL3	FSTL3
RAB29	RAB29
MITF	MITF
TRIM55	TRIM55
HM13	HM13
FAP	FAP
PLIN2	PLIN2
GCNT2	GCNT2
ELF3	ELF3
ZFP36L1	ZFP36L1
SMAD3	SMAD3
KCNQ1OT1	KCNQ1OT1
EPS8	EPS8
STC2	STC2
MUC1	MUC1
BASP1	BASP1
HMGN3	HMGN3
POU2F2	POU2F2
NCL	NCL
SLC7A11	SLC7A11
PDGFB	PDGFB
CDCA3	CDCA3
RNF144B	RNF144B
VAMP8	VAMP8
HDDC3	HDDC3
ADM	ADM
MACROD2	MACROD2
SKA2	SKA2
HNRNPAB	HNRNPAB
SLC38A1	SLC38A1
SGPP2	SGPP2
FOS	FOS
MYC	MYC
YWHAH	YWHAH
LAMA3	LAMA3
ADAMTS1	ADAMTS1
SOD2	SOD2
APOM	APOM
TBX3	TBX3
PON2	PON2
CIB1	CIB1
KIF20A	KIF20A
B4GALT1	B4GALT1
PERP	PERP
NCAPG	NCAPG
RDH10	RDH10
GULP1	GULP1
DHFR	DHFR
AHCY	AHCY
F12	F12
CITED2	CITED2
SNAPC4	SNAPC4
PPIF	PPIF
GPAT3	GPAT3
CDKN2AIP	CDKN2AIP
NUPR1	NUPR1
CENPU	CENPU
TM4SF4	TM4SF4
WNT5A	WNT5A
CAV2	CAV2
CPNE8	CPNE8
MEG3	MEG3
PFKFB3	PFKFB3
HAS2	HAS2
MRC2	MRC2
LDHB	LDHB
HIPK2	HIPK2
ANXA2	ANXA2
FOLR3	FOLR3
IVNS1ABP	IVNS1ABP
DDIT4	DDIT4
TSKU	TSKU
ANTXR2	ANTXR2
CD99	CD99
DPP4	DPP4
FGFR1	FGFR1
TRNP1	TRNP1
GCHFR	GCHFR
TUBG1	TUBG1
GJA1	GJA1
RAD51C	RAD51C
ADAM10	ADAM10
MYBL2	MYBL2
TNNT1	TNNT1
KRT25	KRT25
COL4A2	COL4A2
GNAI1	GNAI1
PLAUR	PLAUR
PLA1A	PLA1A
FBXO5	FBXO5
ORC6	ORC6
GMNN	GMNN
SNORC	SNORC
CLMP	CLMP
CENPE	CENPE
PRAME	PRAME
FRMD4A	FRMD4A
DNMT1	DNMT1
SNHG14	SNHG14
NCAPD2	NCAPD2
SCD	SCD
PXMP2	PXMP2
KPNB1	KPNB1
ARID5B	ARID5B
SLC12A2	SLC12A2
RAN	RAN
FAM43A	FAM43A
PPP1R14A	PPP1R14A
WWC1	WWC1
GABRG3	GABRG3
CYGB	CYGB
MGLL	MGLL
HACD3	HACD3
THBS1	THBS1
NFKBIZ	NFKBIZ
MCM7	MCM7
KLF6	KLF6
PAICS	PAICS
MEDAG	MEDAG
ADGRG1	ADGRG1
SRGAP1	SRGAP1
PARP1	PARP1
UGDH	UGDH
CLDN4	CLDN4
SNX10	SNX10
MIOX	MIOX
PKNOX1	PKNOX1
GYPC	GYPC
LTBP2	LTBP2
NFKBIA	NFKBIA
RNASEH2B	RNASEH2B
AKAP13	AKAP13
CTHRC1	CTHRC1
PTBP3	PTBP3
TCF4	TCF4
RRM1	RRM1
FIBCD1	FIBCD1
EIF4EBP1	EIF4EBP1
PRSS23	PRSS23
TAF15	TAF15
EPHB2	EPHB2
CENPA	CENPA
LRRK2	LRRK2
SLC25A4	SLC25A4
AEBP1	AEBP1
HSPA5	HSPA5
RAB3IP	RAB3IP
GALE	GALE
AATF	AATF
PTN	PTN
DCTPP1	DCTPP1
TSPAN1	TSPAN1
RAD51AP1	RAD51AP1
MAGEA10	MAGEA10
MECOM	MECOM
IGFBP4	IGFBP4
DTYMK	DTYMK
HMGB1	HMGB1
SPAG9	SPAG9
IGFBP6	IGFBP6
FAM111B	FAM111B
CENPW	CENPW
EPAS1	EPAS1
PHLDA1	PHLDA1
TNFSF10	TNFSF10
DNAJC9	DNAJC9
DEK	DEK
SLC4A1AP	SLC4A1AP
PAWR	PAWR
LIMCH1	LIMCH1
FOSB	FOSB
GPRC5C	GPRC5C
OCIAD2	OCIAD2
ZBED2	ZBED2
ASPH	ASPH
STMN1	STMN1
RNF19A	RNF19A
IER5L	IER5L
CCDC80	CCDC80
SYNM	SYNM
PSIP1	PSIP1
NRP1	NRP1
PDGFRA	PDGFRA
ITGB3	ITGB3
GABARAPL1	GABARAPL1
COL5A2	COL5A2
RFC3	RFC3
JADE1	JADE1
CD9	CD9
APCDD1L	APCDD1L
PDXK	PDXK
WHAMM	WHAMM
SRSF7	SRSF7
IER3	IER3
GDA	GDA
ISYNA1	ISYNA1
RGS9	RGS9
TACC3	TACC3
WDR43	WDR43
AKR1A1	AKR1A1
CENPK	CENPK
NUP50	NUP50
MFHAS1	MFHAS1
TNFAIP3	TNFAIP3
LYPD1	LYPD1
LIMA1	LIMA1
MDK	MDK
CAVIN2	CAVIN2
TSPAN3	TSPAN3
COL12A1	COL12A1
GRN	GRN
AMBP	AMBP
FOXC1	FOXC1
CA2	CA2
ANP32A	ANP32A
TMEM97	TMEM97
MNS1	MNS1
LSM3	LSM3
TPCN1	TPCN1
HDDC2	HDDC2
CCNA2	CCNA2
ARHGEF28	ARHGEF28
